"Cuerpo","Calificacion"
"<div class='Normal'><strong>Story:</strong> Rudyard Kipling’s classic tale of a young boy brought up in the jungle by various animals is brought to life once again on the big screen in a fittingly wonderful way. Mowgli leads a peaceful and happy life with a wolf pack led by Akela (Esposito) and Raksha (Nyong’o) until the tiger Shere Khan (Elba) enters the scene, bearing an old grudge and an insatiable desire for revenge.<br>
<br>
<strong>Review:</strong> If you go to the cinema to watch a movie that will draw you into a fantasy world of wonder, Favreau’s retelling of this story – which so many of us remember from childhood – manages to weave that magic. We all know how the story plays out. With the panther Bagheera’s (Kingsley) help, Mowgli (Sethi) tries to stay away from Shere Khan. He also encounters the devious python Kaa (Johansson), a super-sized orangutan with a soul-singer’s baritone named King Louie (Walken) desperate to obtain the ‘red flower’( which is fire) and of course, Baloo the grizzly bear (Murray). These are the key characters, but you’ll also be delighted to discover a few new entrants along the way as well. It all builds on the charm of the 1967 film, which by itself is a must watch for any child.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>Po (Black) is in for some more surprises this time around. Not only is he reunited with his father Li (Cranston) after more than two decades, but he also finds out that he has a unique calling in life. Before Po fulfills his true destiny though, he must vanquish the evil Kai (Simmons), who is on a rampage to steal the ‘qi’ of every kung fu master in the land.<br>
<br>
<strong>Review: </strong>Kung Fu Panda 3 by and large hits the right notes by serving up everything that fans of this franchise have loved, while adding some new elements too. And it’s all buoyed up with a fun storyline.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Continuing where Insurgent left off, Allegiant sees Tris (Woodley) making a break from Chicago along with Four (James) and friends to try and find out the truth behind their lives as well as the real story about the factions. The truth however, might not be all that Tris had bargained for.<br>
<br>
<strong>Review:</strong> While the previous film in this series set the stage for a hopefully interesting follow up, Allegiant turns out to be a bit of a letdown. Diehard fans might also find this movie a stretch or rather, a two hour stretch of a film that gets cheesier every ten minutes or so. The resultant product is something that isn’t quite unlike a B-movie where everything from the costumes and character styling (incidentally, how did Tris’ hair grow out so soon?) to the weapons (which look like they’re put together by a 10-year-old) to their dialogues, will make you cringe.<br>
<br>
<div id='mvslider' style='display:none;'>movie","1.5"
"<div class='Normal'><strong>Story:</strong> While Superman’s actions are undoubtedly heroic, Batman begins to feel that if Superman isn’t made to deal with his own mortality and put in his place, he will assume himself to be a god, an authority unto himself. As the action in Metropolis unfolds and these two icons of the superhero universe battle it out, Superman’s nemesis Lex Luthor creates a monster called Doomsday to destroy Metropolis. It’s only Batman, Superman and Wonder Woman who have a chance at stopping Luthor and Doomsday.<br>
<br>
<strong>Review: </strong>It’s important to know that while all the usual elements of a superhero flick are in place, this is a somewhat different kind of superhero film. It's also pretty dark (given that the Dark Knight series and Man of Steel were intense enough by themselves), and gradually builds up to a climactic conclusion.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Colonel Catherine Powell (Mirren) heads an operation to kill a group of terrorists in strife-ridden Kenya. The operation however, involves no boots on the ground. It’s carried out via a drone and a well-placed Hellfire missile. Matters get complicated when a girl strays in the target area to sell bread. Apart from drone pilot Steve Watts (Paul) refusing to fire, the matter quickly escalates into an international dispute over the right course of action. Do they carry out the strike and risk killing the girl?<br>
<br>
<strong>Review:</strong> Eye In The Sky is a gripping examination of the protocols behind drone warfare. These battles however, play out like a video game, with pilots sitting in a dark room filled with display screens a continent away, moving a joystick. However, drone warfare is as rule-driven – or at least it is made out to be – as ever. Guidelines of engagement have to be adhered to and collateral damage has to ideally be zero. And the collateral damage angle forms the backbone of this movie.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Luke Vaughn (Morgan) doesn’t have the cash to pay for the cancer treatment that his little daughter has to undergo. And being a devoted dad, he is willing to go the distance in order to get the funds. This means teaming up with Cox (Bautista) to rob a casino owned by Pope (De Niro) that he used to work in. But predictably enough, things go awry and they have to hijack a bus in order to make their getaway from both a team of cops, led by Officer Kris (Carano) and Pope.<br>
<br>
<strong>Review:</strong> Bus 657 (also titled as Heist in some countries) is a fairly fast paced cat-and-mouse chase involving the said casino thieves trying to outrun both the mob as well as the cops, who are in hot pursuit. Played out mostly on a bus containing a motley crew of hostages, the entire premise of the film is itself telegraphed early on, before the chase begins, and you do get an inkling of how most of the film will play out.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>The Program charts athlete Lance Armstrong’s meteoric – and dope enhanced – rise to fame, as he made history with seven Tour de France victories and his subsequent complete and utter fall from grace thanks to his own foolishness and the persistent investigative efforts of a journalist.<br>
<br>
<strong>Review: </strong>If there’s one thing that this film proves really well, it is that apart from being able to ride a bike really well, Armstrong (Foster, quite on point) also managed to perfect the dubious art of being a liar and a scam artist.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> It is 1936 and the world is slowly heading towards the brink of yet another global conflagration. Hitler however, is still three years away from invading Poland. But US track athlete Jesse Owens faces a different kind of hurdle apart from winning multiple track races the 1936 Berlin Olympics – that of racial prejudice.<br>
<br>
<strong>Review: </strong>Although the wordplay behind the title of this film is clever – the Olympics race as well as the racial discrimination Owens (James) faces in both the US and Germany – this is by and large, quite a no-nonsense movie about a legendary athlete. While scant mention is made of his life after the Olympics win, Owens is portrayed as a squeaky clean guy whose single aim in life was to win big at the Olympics. And of course, win he did. Two men are key figures in getting him to Berlin. Olympic Committee chief Avery Brundage (Irons) negotiates not only with the Olympics Committee to get the USA to participate in the Olympics despite the Nazis’ anti-Jew activities and racist ideologies, but also with Reich Minister of Propaganda Joseph Goebbels (Metschurat) to tone down the anti-Semitism or else the event would be boycotted by the USA. Then there’s Ohio State coach Larry Snyder (Sudeikis, in fine form) who himself missed his shot at the Olympics in the past. Snyder trains and mentors Owens but in time, the two strike up an enduring and easy friendship.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> The police force in Atlanta, Georgia is rife with crooked cops, among them Marcus Belmont (Mackie) and Franco Rodriguez (Collins). Along with external members, they're routinely blackmailed by the Russian mob to execute big heists, That is, until rookie Chris Allen (Affleck) joins the force and is paired up with Marcus. The dirty cops plan to kill Chris for various reasons. Will senior officer Jeffrey Allen (Harrelson) and Chris be able to foil the next big heist, and does Chris come out of it all alive?<br>
<br>
<strong>Review: </strong>Hillcoat goes all out in his attempt to depict a city apparently rife with crime, where even the good guys cannot be trusted. Grimy realism, visceral action and even the proverbial gum-chewing, unshaven cop who speaks little but packs a big punch; it’s all in here. Oh, and add to that more ingredients, such as the Russian mafia (Winslet plays henchwoman Irina admirably), a soundtrack that’s good enough to listen to on its own, good cinematography, courtesy Nicolas Karakatsanis and an effective screenplay by newbie Matt Cook.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>Gerard Butler returns as Secret Service Agent Mike Banning (Butler) in London Has Fallen, the sequel to Olympus Has Fallen, which dealt with similar calamities involving the White House. Only this time, Banning has to protect the US head of state when he attends the funeral of the British prime Minister.<br>
<br>
<strong>Review:</strong> A lavish wedding party gets underway in Lahore, Pakistan. But the father of this bride is Aamir Barkawi (Aboutboul), a lethal arms dealer and one of the most wanted men in the world. A drone strike swiftly kills members of the wedding – including Barkawi’s daughter – but he escapes serious injury, and he and his sons vow vengeance.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>Libya, after the death of Muammar Gadaffi, is a lawless land, to put it mildly. The embassies of various countries have shut shop and moved out. But in Benghazi, the US embassy and a CIA outpost that officially does not exist, continues to remain and function. It is up to a group of tough mercenaries to save the US Ambassador and organize a secure extraction after various militant groups attack these facilities.<br>
<br>
<strong>Review: </strong>First off – and keeping the various Transformers movies in mind – this doesn’t seem like a movie that Michael Bay would have directed. But the minute the explosions and gunfire commences, you will know that yes, this is indeed his film. He is after all, a pro at making things blow up in style.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>An ambitious bunny rabbit named Judy Hopps (Goodwin), a resident of Bunnyburrow, dreams about becoming a police officer in Zootopia – a city populated by a plethora of anthropomorphous animals. Her happy-go-lucky but protective parents Bonnie (Hunt) and Stu (Lake) sweetly try to convince their daughter otherwise. But nothing will come in the way of Hopps’ dreams.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>A married and elderly couple – Kate Mercer (Rampling) and Geoff Mercer (Courtenay) – live a comfortably retired life in the British countryside. They are also still very much in love with each other. One day though, Geoff receives a letter informing him that the remains of his first sweetheart have been found after many, many years. Apart from being shaken by this news, it also threatens the foundation of their marriage, whose validity is questioned.<br>
<br>
<strong>Review:</strong> Love exists in many hues and shades and 45 Years examines a facet of this feeling that we don’t often get to see onscreen. It also analyses the dynamics of a relationship – from physical to emotional – that exist between people who have spent the better part of their lifetimes together. If two people have been together for so long, can their relationship still be shaken by a ghost from the past? And if so, wouldn’t it be a terrible feeling for a person to realize that their husband or wife has never really stopped loving someone – even if that someone is long dead?<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> Rich housewife Carol falls in love with young photographer Therese – but what happens when Carol’s husband threatens to take their daughter away?<br>
<br>
<strong>Review: </strong>So, Carol is an American novel splayed out beautifully on screen. It’s 1951 and gorgeous, sophisticated Carol (Cate) meets shy, awkward Therese (Rooney). The two women are drawn to each other but Carol’s husband Harge (Kyle) threatens to end Carol’s access to their daughter.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>Ancient Egypt is in chaos, thanks to the god of darkness Set (Butler) who usurps the throne and plunges Egypt into seemingly unending war. Amidst all of this is the mortal Bek’s (Thwaites) quest to bring his girlfriend back to life. To do this, he forms an alliance with none other than Horus (Coster-Waldau), who also wants to destroy Set, his ancient enemy. Will Horus and Bek succeed?<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>Story: </strong>Fur trapper Hugh Glass (DiCaprio) is abandoned by his comrades after he is mauled by a bear and has to use every resource to survive in the wilderness. Set in 1823, this film is loosely based on a true story and outlines his tale of loss, survival and revenge.<br>
<br>
<strong>Review:</strong> Is that really Leo? It’s a question you might ask yourself about a half hour or so into this movie. And probably several times after that. Because DiCaprio’s greatest achievement in The Revenant is that he makes you forget that it is him you’re watching on screen. His degree of character immersion – bearded, bloodied, bruised and more – has arguably never been better.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4.5"
"<div class='Normal'><strong>Story:</strong> A group of investigative journalists working at the Boston Globe in its Spotlight team uncover a massive scandal involving the Roman Catholic Church and some of its priests who sexually molested children. The journalists have got the scent of blood and are eager to bring the story to public knowledge. However, uncovering such a controversial story does have its consequences.<br>
<br>
<strong>Review: </strong>Walter Robinson (Keaton), Sarah Pfeiffer (McAdams), Mike Rezendes (Ruffalo) and Matt Carroll (D’Arcy) together conduct their journalistic work in complete secrecy, owing to the kind of stories they work on. And given the span of research involved, they can take months on a case.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>Jane Austen’s tale of complicated romance and intertwined relationships gets a decidedly different twist, when the land is hit by a zombie outbreak. The film itself is based on another book that first created the mashup of Austen’s story and the zombie elements. The Bennets and Mr Darcy (Riley) try to overcome the zombie menace while simultaneously dealing with their own lives.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><strong>Story: </strong>The socio-political climate post World War 2 in the US was rife with anti-communist sentiment. Any person displaying a hint of socialist or even vaguely Marxist leanings, for whatever reason, would land into trouble. No one was exempt. Top Hollywood screenwriter Dalton Trumbo (Cranston) was a victim of the House Un-American Activities Committee witch hunt for being outspoken about his thoughts about labour rights. This film tells his story.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>Wade Wilson (Reynolds) is a former special forces operative who makes a living as a mercenary. Life seems pretty good for Wade until he meets Ajax (Skrein), a twisted individual with his own evil plans. Ajax performs an experiment on Wade that gives the latter a set of superpowers. But this gift comes with a price and Wade seeks out Ajax to exact revenge. Deadpool traces the origin story of an unlikely, but extremely entertaining superhero.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>New York City forms the backdrop for the love stories of a group of lonely hearts, in this case Alice (Johnson), Meg (Mann), David (Wayans), Ken (Lacy), Tom (Holm), Josh (Braun) and Lucy (Brie). Among all of them, it’s only Robin (Wilson) who isn’t actually looking for love and seems to, at least on the surface, be having a great time. In a world where the definitions of love keep evolving, do they all find what they’re looking for?<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>Travis (Walker) meets Gabby (Palmer) who lives next door and their romance seems like a bit of a small town fairy tale until the inevitable bumps in the road are to be dealt with. Despite the good times, Southern twangs, barbecues, beers and bonhomie, will this romance blossom into something long lasting?<br>
<br>
<strong>Review: </strong>A lot of us would have come across stock photography in some form or another in our day-to-day lives. Picture-perfect posed moments where the subjects show off admirable dentistry and hairstyles that are always immaculate. The Choice is a feature-film length version of that.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><strong>Story:</strong> Set in 1952, the film retells the story of the most daring rescue mission the US Coast Guard has undertaken. Two oil tankers are caught in a massive gale off Cape Cod, Massachusetts. Both ships – the SS Fort Mercer and the SS Pendleton, are broken in half after being pounded by massive waves. The Coast Guard send out some of their bravest men on an almost impossible rescue attempt.<br>
<br>
<strong>Review:</strong> The plot of this film is fairly straightforward by itself. While seasoned seamen are stranded in the gale, staring death in the face, it’s a miracle that they’re still alive and that the shattered Pendleton is even afloat. It’s only able crewman Ray’s (Affleck) resourcefulness that has kept them from death. Daniel Cluff (Bana) is Coast Guard sailor Bernie Webber’s (Pine) Warrant Officer.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> A mother and her child are held under virtual house arrest by a man. Their only outlet to reality is a television and a skylight. They manage to escape. But will they also be able to rebuild their lives again after a past of such intolerable and despicable cruelty? And will their lives ever be the same again?<br>
<br>
<strong>Review:</strong> While we’ve all been blitzed by blockbusters in recent times, the sound of a solid story still resounds underground – a tale that rests easy on the bedrock of performances that seem more human than human. Reel imitating real in a beautiful sense.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story:</strong> Greta (Lauren Cohan), a young American woman, agrees to babysit a boy called Brahms in a remote English village in order to make a fast buck. Turns out Brahms is a doll. His elderly parents consider it to be their son since his alleged death 20 years back.<br>
<br>
<strong>Review:</strong> Greta must adhere to certain rules in order to be the doll's nanny. While she doesn't give this bizarre situation much thought as long as she gets the money, things get creepier. A series of paranormal and disturbing activities in the palatial house lead her to believe that the doll might actually be alive. With his parents gone, can she survive the nightmare? Why she was chosen for the job is another question.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>After a series of unsuccessful attempts to take over the stronghold of the Gauls, Julius Caesar devises a more subtle plan to conquer the stubborn lot. By building a luxury residential estate (the Mansions of the Gods) in the forest on the outskirts of their village, he hopes that the Gauls will be tempted to abandon their village, move into the new property and adopt Roman culture.<br>
<br>
<strong>Review:</strong> While a lot of comic book characters have received cinematic representation, with suitable use of contemporary special effects, Asterix and gang have been curiously missing out on some big screen action… until now, that is. Sure, while there have been a few somewhat forgettable live-action films about Asterix and Obelix, this one is refreshingly different and fun.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>Joy is an ode to courageous women, who don’t let reality strangle their dreams. They rise like a phoenix against all odds wading through life. They survive the company of their own cynical families if need be, to build a future they aspired to live someday.<br>
<br>
<strong>Review: </strong>Joy (Jennifer Lawrence), a hard-working single mother is an inventor. In an otherwise eccentric broken family, grandmom Mimi is her only source of motivation. Mimi believes in Joy’s abilities and vision. She knows that one day the girl will be a successful entrepreneur.<br>
<br>
Sadly, the rest of the family ensures she doesn’t. They clip her wings, burdening her with their responsibilities. Circumstances push her to the breaking point. However, not the one to give up, she relentlessly chases her dreams, pushes boundaries and becomes who she’d always wanted to.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> 16-year-old teen Cassie Sullivan (Chloë Grace Moretz) must survive to save her kid brother after an alien invasion leaves most of Earth decimated.<br>
<br>
<strong>Review: </strong>This generic young adult, sci-fi based on the book by the same name, begins as a survival thriller a la 'The Hunger Games.' The aliens or the ‘others’ replace elitist humans here, who want to kill the weaker species. They wage a series of attacks (waves) on the humans, with the 5th wave suspected to being the most destructive, conclusive one. Distinguishing the aliens is impossible as they look just like humans.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><strong>Story:</strong> In this installment, the chipmunks - Alvin, Theodore, Simon - continue with their misadventures. As their 'Dad' Dave go on a holiday to Miami with his girlfriend Samantha, Alvin and his brothers take a journey with Samantha's son Miles to stop them from getting engaged.
<br><br>

	<strong>Review:</strong> Road Chip, the latest installment from the Alvin and The Chipmunks series is amateurish yet adorable. It is clear that director Walt Becker hardly cares about novelty and is loyal subscriber of fluff entertainment. His sole purpose here is to make people laugh with abandon and on that count, it scores. Chipmunk movies have never been about the story but this edition is thankfully the more charming one of m the lot. Though it demands for you to sit through a lot of poop and fart jokes to get to the better part of the movie, it is all worth it when you watch them jiggle and break into gigs.<br>
	<br>
	<div id='mvslider' style='display:none;'>movie","2.5"
